id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
1,肖申克的救赎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,美国,1994,美国,1950398人评价,9.7,希望让人自由。,犯罪/剧情,
2,霸王别姬,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,中国大陆 中国香港,1993,中国大陆 中国香港,1437905人评价,9.6,风华绝代。,剧情/爱情/同性,
3,阿甘正传,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg,美国,1994,美国,1480488人评价,9.5,一部美国近现代史。,剧情/爱情,
4,这个杀手不太冷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,法国,1994,法国,1674906人评价,9.4,怪蜀黍和小萝莉不得不说的故事。,剧情/动作/犯罪,
5,美丽人生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,意大利,1997,意大利,935762人评价,9.5,最美的谎言。,剧情/喜剧/爱情/战争,
6,泰坦尼克号,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,美国,1997,美国,1427433人评价,9.4,失去的才是永恒的。 ,剧情/爱情/灾难,
7,千与千寻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,日本,2001,日本,1525378人评价,9.3,最好的宫崎骏，最好的久石让。 ,剧情/动画/奇幻,
8,辛德勒的名单,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,美国,1993,美国,755709人评价,9.5,拯救一个人，就是拯救整个世界。,剧情/历史/战争,
9,盗梦空间,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,美国 英国,2010,美国 英国,1421758人评价,9.3,诺兰给了我们一场无法盗取的梦。,剧情/科幻/悬疑/冒险,
10,忠犬八公的故事,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,美国 英国,2009,美国 英国,981564人评价,9.4,永远都不能忘记你所爱的人。,剧情,
11,海上钢琴师,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,意大利,1998,意大利,1182964人评价,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,剧情/音乐,
12,机器人总动员,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,美国,2008,美国,938149人评价,9.3,小瓦力，大人生。,科幻/动画/冒险,
13,三傻大闹宝莱坞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,印度,2009,印度,1310972人评价,9.2,英俊版憨豆，高情商版谢耳朵。,剧情/喜剧/爱情/歌舞,
14,楚门的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,美国,1998,美国,1045729人评价,9.3,如果再也不能见到你，祝你早安，午安，晚安。,剧情/科幻,
15,放牛班的春天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,法国 瑞士 德国,2004,法国 瑞士 德国,912494人评价,9.3,天籁一般的童声，是最接近上帝的存在。 ,剧情/音乐,
16,星际穿越,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,美国 英国 加拿大 冰岛,2014,美国 英国 加拿大 冰岛,1054114人评价,9.3,爱是一种力量，让我们超越时空感知它的存在。,剧情/科幻/冒险,
17,大话西游之大圣娶亲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,中国香港 中国大陆,1995,中国香港 中国大陆,1032316人评价,9.2,一生所爱。,喜剧/爱情/奇幻/古装,
18,熔炉,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,韩国,2011,韩国,633785人评价,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,剧情,
19,疯狂动物城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,美国,2016,美国,1226115人评价,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,喜剧/动画/冒险,
20,无间道,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,中国香港,2002,中国香港,841043人评价,9.2,香港电影史上永不过时的杰作。,剧情/犯罪/悬疑,
21,龙猫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,日本,1988,日本,879150人评价,9.2,人人心中都有个龙猫，童年就永远不会消失。,动画/奇幻/冒险,
22,教父,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,美国,1972,美国,643384人评价,9.3,千万不要记恨你的对手，这样会让你失去理智。,剧情/犯罪,
23,当幸福来敲门,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,美国,2006,美国,1050248人评价,9.1,平民励志片。 ,剧情/传记/家庭,
24,怦然心动,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,美国,2010,美国,1214535人评价,9.1,真正的幸福是来自内心深处。,剧情/喜剧/爱情,
25,触不可及,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,法国,2011,法国,686231人评价,9.2,满满温情的高雅喜剧。,剧情/喜剧,
26,蝙蝠侠：黑暗骑士,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,美国 英国,2008,美国 英国,707056人评价,9.2,无尽的黑暗。,剧情/动作/科幻/犯罪/惊悚,
27,控方证人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,美国,1957,美国,267541人评价,9.6,比利·怀德满分作品。,剧情/犯罪/悬疑,
28,活着,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,中国大陆 中国香港,1994,中国大陆 中国香港,546096人评价,9.2,张艺谋最好的电影。,剧情/历史/家庭,
29,乱世佳人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,美国,1939,美国,469298人评价,9.3,Tomorrow is another day.,剧情/历史/爱情/战争,
30,寻梦环游记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,美国,2017,美国,1021256人评价,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,喜剧/动画/奇幻/音乐,
31,末代皇帝,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,英国 意大利 中国大陆 法国,1987,英国 意大利 中国大陆 法国,485013人评价,9.2,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,剧情/传记/历史,
32,摔跤吧！爸爸,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,印度,2016,印度,1068116人评价,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,剧情/传记/运动/家庭,
33,少年派的奇幻漂流,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,美国 中国台湾 英国 加拿大,2012,美国 中国台湾 英国 加拿大,997256人评价,9.1,瑰丽壮观、无人能及的冒险之旅。,剧情/奇幻/冒险,
34,指环王3：王者无敌,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,美国 新西兰,2003,美国 新西兰,517005人评价,9.2,史诗的终章。,剧情/动作/奇幻/冒险,
35,飞屋环游记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,美国,2009,美国,925579人评价,9.0,最后那些最无聊的事情，才是最值得怀念的。 ,剧情/喜剧/动画/冒险,
36,何以为家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,黎巴嫩 法国 美国,2018,黎巴嫩 法国 美国,609506人评价,9.1,凝视卑弱生命，用电影改变命运。,剧情,
37,十二怒汉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,美国,1957,美国,311772人评价,9.4,1957年的理想主义。 ,剧情,
38,鬼子来了,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,中国大陆,2000,中国大陆,427755人评价,9.2,对敌人的仁慈，就是对自己残忍。,剧情/历史/战争,
39,天空之城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,日本,1986,日本,587663人评价,9.1,对天空的追逐，永不停止。 ,动画/奇幻/冒险,
40,大话西游之月光宝盒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,中国香港 中国大陆,1995,中国香港 中国大陆,829264人评价,9.0,旷古烁今。,喜剧/爱情/奇幻/古装,
41,哈尔的移动城堡,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,日本,2004,日本,672333人评价,9.0,带着心爱的人在天空飞翔。,动画/奇幻/冒险,
42,素媛,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,韩国,2013,韩国,420293人评价,9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,剧情,
43,天堂电影院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg,意大利 法国,1988,意大利 法国,465554人评价,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,剧情/爱情,
44,罗马假日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,美国,1953,美国,678081人评价,9.0,爱情哪怕只有一天。,喜剧/剧情/爱情,
45,闻香识女人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,美国,1992,美国,588593人评价,9.1,史上最美的探戈。,剧情,
46,辩护人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,韩国,2013,韩国,419517人评价,9.2,电影的现实意义大过电影本身。,剧情,
47,搏击俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,美国 德国,1999,美国 德国,615904人评价,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,剧情/动作/悬疑/惊悚,
48,哈利·波特与魔法石,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2591591494.jpg,美国 英国,2001,美国 英国,624107人评价,9.0,童话世界的开端。,奇幻/冒险,
49,我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,中国大陆,2018,中国大陆,1438742人评价,9.0,对我们国家而言，这样的电影多一部是一部。,剧情/喜剧,
50,死亡诗社,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,美国,1989,美国,482702人评价,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,剧情,
51,教父2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,美国,1974,美国,354772人评价,9.2,优雅的孤独。,剧情/犯罪,
52,窃听风暴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,德国,2006,德国,397421人评价,9.1,别样人生。,剧情/悬疑,
53,狮子王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,美国,1994,美国,546881人评价,9.0,动物版《哈姆雷特》。,动画/冒险/歌舞,
54,指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,美国 新西兰,2002,美国 新西兰,473578人评价,9.1,承前启后的史诗篇章。,剧情/动作/奇幻/冒险,
55,大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,1964(中国大陆),1961(中国大陆),1964(中国大陆),257329人评价,9.3,经典之作，历久弥新。,动画/奇幻,
56,指环王1：魔戒再现,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,新西兰 美国,2001,新西兰 美国,532269人评价,9.0,传说的开始。,剧情/动作/奇幻/冒险,
57,两杆大烟枪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,英国,1998,英国,421796人评价,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,剧情/喜剧/犯罪,
58,美丽心灵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,美国,2001,美国,523363人评价,9.0,爱是一切逻辑和原由。,传记/剧情,
59,饮食男女,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,中国台湾 美国,1994,中国台湾 美国,388235人评价,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,剧情/家庭,
60,飞越疯人院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,美国,1975,美国,420519人评价,9.1,自由万岁。,剧情,
61,猫鼠游戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,美国 加拿大,2002,美国 加拿大,536205人评价,9.0,骗子大师和执著警探的你追我跑故事。 ,传记/犯罪/剧情,
62,黑客帝国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,美国 澳大利亚,1999,美国 澳大利亚,532647人评价,9.0,视觉革命。,动作/科幻,
63,V字仇杀队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,美国 英国 德国,2005,美国 英国 德国,738637人评价,8.9,一张面具背后的理想与革命。,剧情/动作/科幻/惊悚,
64,钢琴家,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,法国 德国 英国 波兰,2002,法国 德国 英国 波兰,350626人评价,9.2,音乐能化解仇恨。,剧情/传记/历史/战争/音乐,
65,本杰明·巴顿奇事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,美国,2008,美国,683923人评价,8.9,在时间之河里感受溺水之苦。,剧情/爱情/奇幻,
66,看不见的客人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,西班牙,2016,西班牙,794344人评价,8.8,你以为你以为的就是你以为的。,剧情/犯罪/悬疑/惊悚,
67,让子弹飞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,中国大陆 中国香港,2010,中国大陆 中国香港,1110894人评价,8.8,你给我翻译翻译，神马叫做TMD的惊喜。,剧情/喜剧/动作/西部,
68,西西里的美丽传说,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,意大利 美国,2000,意大利 美国,670069人评价,8.9,美丽无罪。,剧情/战争/情色,
69,海豚湾,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,美国,2009,美国,278128人评价,9.3,海豚的微笑，是世界上最高明的伪装。,纪录片,
70,小鞋子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg,伊朗,1997,伊朗,272543人评价,9.2,奔跑的孩子是天使。,剧情/儿童/家庭,
71,拯救大兵瑞恩,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,美国,1998,美国,441856人评价,9.0,美利坚精神输出大片No1.,剧情/历史/战争,
72,情书,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,日本,1995,日本,629411人评价,8.9,暗恋的极致。,剧情/爱情,
73,音乐之声,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265302.jpg,美国,1965,美国,409196人评价,9.0,用音乐化解仇恨，让歌声串起美好。,剧情/传记/爱情/歌舞,
74,穿条纹睡衣的男孩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,英国 美国,2008,英国 美国,335137人评价,9.1,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,剧情/战争,
75,美国往事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,美国 意大利,1984,美国 意大利,291061人评价,9.2,往事如烟，无处祭奠。,犯罪/剧情,
76,致命魔术,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,美国 英国,2006,美国 英国,584724人评价,8.9,孪生蝙蝠侠大战克隆金刚狼。,剧情/悬疑/惊悚,
77,绿皮书,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,美国,2018,美国,1019701人评价,8.9,去除成见，需要勇气。,剧情/喜剧/传记,
78,七宗罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,美国,1995,美国,682112人评价,8.8,警察抓小偷，老鼠玩死猫。,剧情/犯罪/悬疑/惊悚,
79,低俗小说,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,美国,1994,美国,581133人评价,8.8,故事的高级讲法。,剧情/喜剧/犯罪,
80,沉默的羔羊,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,美国,1991,美国,578252人评价,8.8,安东尼·霍普金斯的顶级表演。,剧情/犯罪/惊悚,
81,海蒂和爷爷,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,德国 瑞士 南非,2015,德国 瑞士 南非,237454人评价,9.2,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,剧情/冒险/家庭,
82,蝴蝶效应,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,美国 加拿大,2004,美国 加拿大,643333人评价,8.8,人的命运被自己瞬间的抉择改变。,剧情/悬疑/科幻/惊悚,
83,被嫌弃的松子的一生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,日本,2006,日本,520197人评价,8.9,以戏谑来戏谑戏谑。,剧情/歌舞,
84,春光乍泄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,中国香港 日本 韩国,1997,中国香港 日本 韩国,432825人评价,8.9,爱情纠缠，男女一致。,剧情/爱情/同性,
85,禁闭岛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,美国,2010,美国,641266人评价,8.8,昔日翩翩少年，今日大腹便便。,剧情/悬疑/惊悚,
86,心灵捕手,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,美国,1997,美国,480097人评价,8.9,人生中应该拥有这样的一段豁然开朗。,剧情,
87,布达佩斯大饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,美国 德国 英国,2014,美国 德国 英国,607520人评价,8.8,小清新的故事里注入了大历史的情怀。,剧情/喜剧/冒险,
88,阿凡达,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,美国 英国,2009,美国 英国,923377人评价,8.7,绝对意义上的美轮美奂。,动作/科幻/冒险,
89,剪刀手爱德华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,美国,1990,美国,780806人评价,8.7,浪漫忧郁的成人童话。,剧情/奇幻/爱情,
90,勇敢的心,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,美国,1995,美国,434614人评价,8.9,史诗大片的典范。,动作/传记/剧情/历史/战争,
91,摩登时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,美国,1936,美国,189369人评价,9.3,大时代中的人生，小人物的悲喜。,剧情/喜剧/爱情,
92,天使爱美丽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,法国 德国,2001,法国 德国,748645人评价,8.7,法式小清新。 ,喜剧/爱情,
93,加勒比海盗,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,美国,2003,美国,611724人评价,8.7,约翰尼·德普的独角戏。,动作/冒险/奇幻,
94,喜剧之王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,中国香港,1999,中国香港,638265人评价,8.7,我是一个演员。,喜剧/剧情/爱情,
95,致命ID,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,美国,2003,美国,537312人评价,8.8,最不可能的那个人永远是最可能的。,剧情/悬疑/惊悚,
96,断背山,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,美国 加拿大,2005,美国 加拿大,518913人评价,8.8,每个人心中都有一座断背山。,剧情/爱情/同性/家庭,
97,杀人回忆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2326071698.jpg,韩国,2003,韩国,442230人评价,8.8,关于连环杀人悬案的集体回忆。,剧情/动作/犯罪/悬疑/惊悚,
98,幽灵公主,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,日本,1997,日本,381537人评价,8.9,人与自然的战争史诗。,动画/奇幻/冒险,
99,狩猎,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,丹麦 瑞典,2012,丹麦 瑞典,237948人评价,9.1,人言可畏。,剧情,
100,入殓师,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,日本,2008,日本,440571人评价,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,剧情,
101,阳光灿烂的日子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,中国大陆 中国香港,1994,中国大陆 中国香港,437908人评价,8.8,一场华丽的意淫。,剧情/爱情,
102,请以你的名字呼唤我,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,意大利 法国 巴西 美国 荷兰 德国,2017,意大利 法国 巴西 美国 荷兰 德国,421592人评价,8.9,沉醉在电影的情感和视听氛围中无法自拔。,剧情/爱情/同性,
103,重庆森林,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,中国香港,1994,中国香港,550413人评价,8.7,寂寞没有期限。,剧情/爱情,
104,第六感,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,美国,1999,美国,377040人评价,8.9,深入内心的恐怖，出人意料的结局。,剧情/悬疑/惊悚,
105,哈利·波特与死亡圣器(下),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,美国 英国,2011,美国 英国,506399人评价,8.8,10年的完美句点。,奇幻/冒险,
106,小森林 夏秋篇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,日本,2014,日本,282341人评价,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,剧情,
107,7号房的礼物,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,韩国,2013,韩国,349216人评价,8.9,《我是山姆》的《美丽人生》。,剧情/喜剧/家庭,
108,消失的爱人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,美国,2014,美国,619783人评价,8.7,年度最佳date movie。,剧情/犯罪/悬疑/惊悚,
109,红辣椒,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg,日本,2006,日本,263061人评价,9.0,梦的勾结。,动画/悬疑/科幻/惊悚,
110,爱在黎明破晓前,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,美国 奥地利 瑞士,1995,美国 奥地利 瑞士,401899人评价,8.8,缘分是个连绵词，最美不过一瞬。,剧情/爱情,
111,玛丽和马克思,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2162822165.jpg,澳大利亚,2009,澳大利亚,323343人评价,8.9,你是我最好的朋友，你是我唯一的朋友 。,剧情/喜剧/动画,
112,小森林 冬春篇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2258078370.jpg,日本,2015,日本,248452人评价,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,剧情,
113,侧耳倾听,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,日本,1995,日本,310773人评价,8.9,少女情怀总是诗。,剧情/爱情/动画,
114,一一,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,中国台湾 日本,2000,中国台湾 日本,241503人评价,9.0,我们都曾经是一一。,剧情/爱情/家庭,
115,告白,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,日本,2010,日本,523451人评价,8.7,没有一人完全善，也没有一人完全恶。,剧情/惊悚,
116,大鱼,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,美国,2003,美国,405698人评价,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,剧情/家庭/奇幻/冒险,
117,唐伯虎点秋香,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,中国香港,1993,中国香港,689741人评价,8.6,华太师是黄霑，吴镇宇四大才子之一。,喜剧/爱情/古装,
118,阳光姐妹淘,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,韩国,2011,韩国,441446人评价,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,剧情/喜剧,
119,蝙蝠侠：黑暗骑士崛起,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,美国 英国,2012,美国 英国,493742人评价,8.8,诺兰就是保证。,剧情/动作/科幻/犯罪/惊悚,
120,射雕英雄传之东成西就,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg,中国香港,1993,中国香港,451806人评价,8.7,百看不厌。 ,喜剧/奇幻/武侠/古装,
121,倩女幽魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,中国香港,1987,中国香港,488589人评价,8.7,两张绝世的脸。 ,爱情/奇幻/武侠/古装,
122,超脱,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,美国,2011,美国,312267人评价,8.9,穷尽一生，我们要学会的，不过是彼此拥抱。,剧情,
123,甜蜜蜜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,中国香港,1996,中国香港,355401人评价,8.8,相逢只要一瞬间，等待却像是一辈子。,剧情/爱情,
124,驯龙高手,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,美国,2010,美国,524597人评价,8.7,和谐的生活离不开摸头与被摸头。,动画/奇幻/冒险,
125,萤火之森,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,日本,2011,日本,332647人评价,8.9,触不到的恋人。,剧情/爱情/动画/奇幻,
